School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap,geometry,GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,disadvantage_score
610383,Greater Lawndale High School For Social Justice,HS,41.833507,-87.735299,70.2,62.2,833,8.0,POINT (-87.735299 41.833507),17031830500,Census Tract 8305; Cook County; Illinois,0.0952380952380952,10.987256894334465,0.0832376578645235,0.1316085489313835,0.3957783641160949,-0.3330953995807781
610385,Multicultural Arts High School,HS,41.835282,-87.735283,56.8,44.7,845,12.099999999999994,POINT (-87.735283 41.835282),17031830500,Census Tract 8305; Cook County; Illinois,0.0952380952380952,10.987256894334465,0.0832376578645235,0.1316085489313835,0.3957783641160949,-0.3330953995807781
610390,Hyman G Rickover Naval Academy High School,HS,41.957599,-87.769938,93.7,69.1,923,24.60000000000001,POINT (-87.769938 41.957599),17031150402,Census Tract 1504.02; Cook County; Illinois,0.0768060836501901,11.492579890304798,0.0384800384800384,0.180722891566265,0.3815028901734104,-1.0565775381227094
610389,Orr Academy High School,HS,41.894449,-87.726166,55.4,44.4,801,11.0,POINT (-87.726166 41.894449),17031842100,Census Tract 8421; Cook County; Illinois,0.2166029182603768,10.837755717640936,0.1195595175668589,0.469661610268378,0.5547098001902949,1.900320690791249
610392,World Language Academy High School,HS,41.834397,-87.735292,75.8,69.2,883,6.599999999999994,POINT (-87.735292 41.834397),17031830500,Census Tract 8305; Cook County; Illinois,0.0952380952380952,10.987256894334465,0.0832376578645235,0.1316085489313835,0.3957783641160949,-0.3330953995807781
610391,Robert Lindblom Math & Science Academy HS,HS,41.782041,-87.671662,92.2,83.1,"1,046",9.100000000000009,POINT (-87.671662 41.782041),17031670600,Census Tract 6706; Cook County; Illinois,0.3262350936967632,10.535317684107266,0.141747572815534,0.2956521739130435,0.3703703703703703,1.9027370538654456
610394,Uplift Community High School,HS,41.965547,-87.652473,61.5,41.2,742,20.299999999999997,POINT (-87.652473 41.965547),17031031501,Census Tract 315.01; Cook County; Illinois,0.4629911004992403,10.797307701282914,0.0533509700176366,0.1933962264150943,0.5114978247358608,1.598883324684212
610499,Collins Academy STEAM High School,HS,41.864149,-87.702042,72.5,48.0,768,24.5,POINT (-87.702042 41.864149),17031843100,Census Tract 8431; Cook County; Illinois,0.391304347826087,10.75062111371267,0.0659509202453987,0.5359712230215827,0.5498721227621484,2.5640339565865227
610513,Air Force Academy High School,HS,41.828145,-87.632757,78.4,66.7,859,11.700000000000005,POINT (-87.632757 41.828145),17031340600,Census Tract 3406; Cook County; Illinois,0.5797101449275363,9.870344333942874,0.3137931034482759,0.4101694915254237,0.4121475054229935,5.139790227804469
610518,Austin College and Career Academy High School,HS,41.885993,-87.761916,45.8,33.3,745,12.5,POINT (-87.761916 41.885993),17031251900,Census Tract 2519; Cook County; Illinois,0.4229256783326779,10.177324218165856,0.1842532467532467,0.4941050375133976,0.6370530877573131,4.0407696999276235
610524,Louisa May Alcott College Preparatory HS,HS,41.935795,-87.680562,92.1,61.6,888,30.499999999999993,POINT (-87.680562 41.935795),17031051400,Census Tract 514; Cook County; Illinois,0.1009861932938856,11.944993554872926,0.0463320463320463,0.1103678929765886,0.2544529262086514,-1.7962237357626745
610543,Eric Solorio Academy High School,HS,41.795201,-87.711059,87.4,65.5,923,21.90000000000001,POINT (-87.711059 41.795201),17031630300,Census Tract 6303; Cook County; Illinois,0.0808735301175905,10.857459351377972,0.0827110855829982,0.0279383429672447,0.6355475763016158,-0.1446116634397326
610529,Ogden International High School,HS,41.893548,-87.659405,90.0,82.8,952,7.200000000000003,POINT (-87.659405 41.893548),17031243400,Census Tract 2434; Cook County; Illinois,0.1214602524735585,11.734251365357412,0.0354260089686098,0.2380165289256198,0.3873873873873873,-0.932432507522796
610547,South Shore Intl College Prep High School,HS,41.758792,-87.576353,80.2,72.0,901,8.200000000000003,POINT (-87.576353 41.758792),17031834200,Census Tract 8342; Cook County; Illinois,0.2256754370475013,10.955532205387904,0.1872307089698394,0.5446361590397599,0.4639830508474576,2.324213006012013
610558,Sarah E. Goode STEM Academy,HS,41.75375,-87.707345,90.7,60.3,809,30.40000000000001,POINT (-87.707345 41.75375),17031700100,Census Tract 7001; Cook County; Illinois,0.1615900877645844,11.274706346187276,0.0551795939614783,0.2806236080178174,0.6312056737588653,0.3927287390607766
610561,Richard T Crane Medical Preparatory HS,HS,41.876947,-87.683301,82.8,54.2,827,28.59999999999999,POINT (-87.683301 41.876947),17031838000,Census Tract 8380; Cook County; Illinois,0.3332085361287907,10.191407096789248,0.2072874493927125,0.3290441176470588,0.4492890995260663,2.9356585794207013
610564,Disney II Magnet High School,HS,41.952488,-87.721364,94.8,70.1,948,24.700000000000003,POINT (-87.721364 41.952488),17031160900,Census Tract 1609; Cook County; Illinois,0.0314049586776859,11.651477980631476,0.0551543007222587,0.0360065466448445,0.2562814070351759,-1.9760638365284249
610563,Back of the Yards IB High School,HS,41.808413,-87.677541,93.8,81.1,964,12.700000000000005,POINT (-87.677541 41.808413),17031611500,Census Tract 6115; Cook County; Illinois,0.2766095114849563,10.62035125971339,0.1001615508885298,0.3013493253373313,0.5157342657342657,1.6369939379076683
610565,Excel Academy of Englewood,HS,41.763896,-87.649124,7.7,12.8,709,-5.1000000000000005,POINT (-87.649124 41.763896),17031681400,Census Tract 6814; Cook County; Illinois,0.1186801490154337,10.849938847305134,0.0586701434159061,0.2228915662650602,0.3716012084592145,-0.0233125473006312
610570,Ombudsman Chicago - South,HS,41.783027,-87.683635,7.1,15.7,764,-8.6,POINT (-87.683635 41.783027),17031835000,Census Tract 8350; Cook County; Illinois,0.2717606775995675,10.429901051643771,0.2406015037593984,0.3792784458834413,0.531129900076864,2.97540022892045
610587,Walter Henri Dyett High School for the Arts,HS,41.801204,-87.612239,86.9,55.6,812,31.300000000000004,POINT (-87.612239 41.801204),17031836100,Census Tract 8361; Cook County; Illinois,0.4444444444444444,9.949798455399378,0.2019977802441731,0.5221674876847291,0.6508422664624809,4.576076175123292
